Perovskite,Band gap (eV)
Cs2AgBiI6,0.48
Rb2PdBr6,1.341
BaZrS3,1.51
CsPbI3,1.8
Cs2AgInCl6,3.46
Cs3Bi2I9,1.94
CsPbCl3,0.3
Cs2Ti0,1.33
N2H5PbI3,1.64
BaTiO3,3.4
CH3NH3PbI3,1.43
Cs2TlBiI6,1.37
Ba2FeNbO6,2.29
BaLa4Ti4O15,3.77
LaTiO3,2.8
BaSnO3,4.05
CH3NH3CuBr3,1.65
Rb2SnI6,1.1
CsLaTa2Se7,1.10
Rb2AgPdCl5,1.36
Ba2ZrTiO6,3.14
CsGeI3,1.36
C6H9N2,2.0
Cs2SnI6,1.257
LaFeO3,2.36
SbI3Cl2,1.5
Gd2NiMnO6,1.5
Ca3PCl3,2.109
CsPbBrI2,1.91
CH3NH2BiI3,1.61
CsNbO3,1.95
Cs2NaGaBr6,1.762
LaCrO3,2.62
CdSnO3,3.0
Cs3CuAgI5,2.63
BiGaO3,1.37
C5N2H9,3.50
CsPbBr3,2.95
BiMnO3,0.1
AgBiI8,1.86
Ba2K2Te2O9,3.4
AgBeCl3,3.25
AgBeF3,4.25
TbMnO3,0.48
CH3NH3SnI3,1.3
CsPb2Br5,2.44
NH3C4H8NH32,2.30
Ca3Nb2N2O5,2.15
Bi2WO6,2.8
CH3NH3,1.47
CsSnI3,1.3
Ca2Fe2O5,2.3
CH3NH3PbCl3,2.428
CsPbIBr2,1.83
Cs2AgBiBr6,2.33
Cu2Br6,3.87
NaTaO3,3.6
CsTmCl3,3.92
CH3NH3Pb,1.77
HgSnO3,1.6
CH3NH3FeI2Br,0.689
CsCuCl3,2.6
Sn2SbS2I3,2.0
GdFeO3,2.85
LaZrO2N,2.8
Cs3Bi2Br9,0.69
BiFeO3,2.71
Cs2TiI6,1.8
CuBiSCl2,1.37
SrTiO3,4.02
Sr3Ti2S7,0.86
Cs2SeI6,1.339
AgNb7O18,2.76
CsInOBr2,1.3
RbGeI3,1.38
CaTaO2N,2.5
Bi2FeMnO6,2.7
CH3NH3BaI3,3.1
BaZrO3,5.4
LaTiO2N,2.1
YbMnO3,1.35
CH3NH3PbI2Br,1.8
Sr2NiMoO6,2.1
La3TaO7,2.2
Rb2TiBr6,1.59
CH3NH3PbBr3,2.3
CsBi3I10,1.78
CsYbBr3,3.61
SrNbO2N,1.94
La2Ti2O7,2.6
SrHfO3,3.75
Cs2Ti1,0.26
Cs2ZrI6,1.92
Cs2AgIn0,3.066
CaZrSe3,1.40
SeNiO3,3.77
Cs3Fe2Cl9,2.73
Cs4PbBr6,2.29
LaGaO3,2.91
Sr3Zr2O7,3.31
LaCoO3,1.70
Cs2TiI2Cl4,1.60
Eu2SrAl2O7,4.8
Bi3TiNbO9,3.2
CsSnI2Cl,1.75
Cs2AuAuX6,1.40
KH2PO4,5.24
La4Co3O9,1.42
NaMgO3,6.08
Nd6Ti4Fe2O20,2.2
NdFeO3,1.46
PbTiO3,1.72
PbBi2Nb2,0.14
Cs3Sb2Cl9,3.214
Cs2AgBiCl6,2.35
PrFeO3,2.4
PC61BM,3.7
SrSnO3,2.44
MgZnO3,1.77
LaNiO3,1.09
LaMnO3,0.9
Ba2YTaO6,3.5
CsSnBr3,0.610
FrInO3,1.82
C9H14ON,2.4
Sr2MgMoO6,2.663
Cs2PtBr6,1.32
Cs4CuSb2Cl12,1.6
CsEuBr3,2.85
Bi2FeCrO6,1.50
BaTaO2N,1.8
CeFeO3,1.93
Bi2TiO4F2,2.85
BiAlO3,3.43
CsSrF3,5.66
Ba3ZnNb2O9,3.05
NaMgF3,5.90
Sr2RuWO6,1.4
CsPbxSn1,1.78
YbFeO3,2.0
LaSrTiO3,2.76
Cs2CrI6,1.08
Pb2CoTeO6,1.88
BaNbO2N,1.79
CsSnCl3,2.98
Bi5Ti3FeO15,2.38
Mg3NAs0,1.402
NiSnO3,3.56
Ba2Zn1,3.53
LaTaON2,0.15
AgGaS2,3.75
RbSr2Nb3O10,2.37
LaAlO3,5.6
K2AgF4,1.65
Ca3Ti2,2.23
RbPbBr3,2.24
GdMnO3,2.9
K5Ba10,6.05
Ca6Te3N2,2.5
PEA2PbBrxCl4,4.13
C6H14N,2.12
C4H9NH3,2.03
SrTaO2N,2.3
CsPbF3,2.99
Ba2TiMnO6,0.98
Ca2CrOsO6,0.6
Rb2TeF,2.00
Na2CO3,1.7
GdAlO3,3.15
Cs2PtI6,1.37
CH3NH3SnBr3,1.902
ZnSnO3,3.50
Ag2BiI5,1.71
Cs2AgSbCl6,2.7
Rb2AgInBr6,1.32
TlGeF3,0.81
Cs2CuIrF6,0.72
SmFeO3,3.88
Cs2Ag0,2.74
Gd2MgTiO6,2.977
Lu2NiIrO6,0.20
AgBi2I7,0.6
Sb2Se3,1.15
